          INSTITUTO TÉCNICO SALESIANO VILLADA,,,,,,,
Cno. Calera Km 7 ½ Valle Escondido Córdoba Capital Te: 0351-4841000,,,,,,,
INVENTARIO ELECTRONICA LAB 2 - Equipos,,,,,,,
,,,,,,,
AÑO 2022,,,,,,,
N° Orden,Descripción,Stock actual,"Stock
 necesario",Código,Ubicación,Porcentaje,Responsable
1,Banco de trabajo,13,13,,Laboratorio,0,Remedi
2,AACC Surrey 4500 Frig,2,2,,Laboratorio,0,Remedi
3,Calefactor,2,2,,Laboratorio,0,Remedi
4,Taburete fijo negro,38,38,,Laboratorio,0,Remedi
5,Taburete giratorio con respaldar (negros),4,4,,Laboratorio,0,Remedi
6,Mesa de madera,3,3,,Laboratorio,0,Remedi
7,Mesada de mármol con bacha metálica,1,1,,Laboratorio,0,Remedi
8,Mueble de madera,1,1,,Laboratorio,0,Remedi
9,Televisor SmartTV TCL 49'',1,1,,Laboratorio,0,Remedi
10,Gabinete Telecom BTS,1,1,,Laboratorio,0,Remedi
11,"Fuente de alimentación 1,3-32V/3,3/5/12/24",13,13,,M1 - M12,0,Remedi
12,"CPU + Monitor Led 19"" + multimedia + disco + Grabadora DVD + teclado + mouse",12,12,,M1 - M12,0,Remedi
13,"CPU Intel I3 - 3250 - 4 GB RAM + Monitor Led 18,5""+ multimedia + disco 500GB+
 Grabadora DVD + teclado + mouse",1,1,,Mesa 13,0,Remedi
14,Impresora Laser Samsung M2020,1,1,,Mesa 13,0,Remedi
15,Mandril adaptador para mechas chicas con 3 accesorios p/taladro DREMEL,1,1,,Mesa de perforación,0,Remedi
16,Taladro de banco c/llave de ajuste,1,1,,Mesa de perforación,0,Remedi
17,Taladro Dremel Multipro,1,1,,Mesa de perforación,0,Remedi
18,Dremel work station,1,1,,Mesa de perforación,0,Remedi
19,Lupa,1,1,,Mesa de perforación,0,Remedi
20,Morsa tamaño 0,1,1,,Mesa de perforación,0,Remedi
21,Morsa tamaño 4,1,1,,Mesa de perforación,0,Remedi
22,Sensor de proximidad inductivo,1,1,3RG4023-0AG01,Maletin inductivo M14,0,Remedi
23,Sensor de proximidad inductivo,1,1,3RG4012-3AG33,Maletin inductivo M14,0,Remedi
24,Sensor IR emisor,1,1,5WG1 425-7AB21,Maletin inductivo M14,0,Remedi
25,Sensor IR receptor,1,1,5WG1 440-7AB01,Maletin inductivo M14,0,Remedi
26,Sonar,1,1,3RG6044-3MM00,Maletin capacitivo M14,0,Remedi
27,Sonar,1,1,3RG6125-3BF00,Maletin capacitivo M14,0,Remedi
28,Sonar,1,1,3RG6013-3AD00,Maletin capacitivo M14,0,Remedi
29,Sensor Inductivo,1,1,3RG-4014-3AG01,Maletin inductivo M14,0,Remedi
30,Sensor Inductivo,1,1,3RG-4013-3AG33,Maletin inductivo M14,0,Remedi
31,Sensor Inductivo,1,1,3RG-4070-3AG01,Maletin inductivo M14,0,Remedi
32,Sensor óptico,1,1,3RG-637121-3AA00,Maletin inductivo M14,0,Remedi
33,Final de carrera,8,8,3SE120-1V,Maletin M14,0,Remedi
34,Baliza triple,1,1,8WD4 308-0AA,Maletin M14,0,Remedi
35,Baliza simple,1,1,8WD5 300-1AB,Maletin M14,0,Remedi
36,Baliza simple de repuesto,1,1,,Maletin M14,0,Remedi
37,Variac 0 a 220 V - 1 A,1,1,,Mesa 14,0,Vettorello
38,"Motor trifásico 3CV 2,2KW",1,1,"3CV 2,2KW",Mesa 14,0,Remedi
39,"Motor trifásico 0,5HP-Altium",1,1,TE2A712P4,Mesa 14,0,Remedi
40,Fuente de alimentacion,1,1,24V 40A,Mesa 14,0,Remedi
41,Variador de velocidad,1,1,6SE-3213-6CA40,Mesa 14,0,Remedi
42,Variador de velocidad,1,1,6SE-6410-2UB13-7AA0,Mesa 14,0,Remedi
43,Moto reductores SIEMENS,4,4,,Mesa 14,0,Remedi
44,Tablero amarillo con contactores y termomagnética,1,1,,Mesa 14,0,Remedi
45,Cable canal ranurado 40x60 (tira),1,1,,Mesa 14,0,Remedi
46,"PC-Duron 1,2 GHz - 512 Mb RAM - 40 Gb Disco - CD - 3 1/2 - Monitor 15""",1,1,,Mesa 14,0,Remedi
47,Caja de cables unipolares varias medidas y colores,1,1,,Mesa 14,0,Remedi
48,Termica 4x10A,1,1,,Maqueta tablero amarillo,0,Remedi
49,Temporizador para riel DIN c/zócalo,1,1,,Maqueta tablero amarillo,0,Remedi
50,Contactos auxiliares para contactor (NC),3,3,,Maqueta tablero amarillo,0,Remedi
51,Tabaquera con fusible para riel DIN,1,1,,Maqueta tablero amarillo,0,Remedi
52,Borneras Zoloda,34,34,,Maqueta tablero amarillo,0,Remedi
53,Calentador,1,1,,Mesa mármol,0,Remedi
54,Pecera,1,1,,Mesa mármol,0,Remedi
55,Bomba de aire,1,1,,Mesa mármol,0,Remedi
56,Luz UV,1,1,,Mesa mármol,0,Remedi
57,Bandeja para ataque químico de PCB,2,2,,Mesa mármol,0,Remedi
58,Bandeja para agua,1,1,,Mesa mármol,0,Remedi
