id,status,quantity,box,observation
1,COM,10,1,planilla excel 2023
2,COM,1,2,planilla excel 2023
3,COM,2,3,planilla excel 2023
4,COM,14,4,planilla excel 2023
5,COM,1,5,planilla excel 2023
6,COM,1,6,planilla excel 2023
7,COM,3,7,planilla excel 2023
8,COM,2,8,planilla excel 2023
9,COM,1,9,planilla excel 2023
10,COM,1,10,planilla excel 2023
11,COM,1,11,planilla excel 2023
12,COM,1,12,planilla excel 2023
13,COM,4,13,planilla excel 2023
14,COM,2,14,planilla excel 2023
15,COM,1,15,planilla excel 2023
16,COM,2,16,planilla excel 2023
17,COM,4,17,planilla excel 2023
18,COM,1,18,planilla excel 2023
19,COM,1,19,planilla excel 2023
20,COM,1,20,planilla excel 2023
21,COM,1,21,planilla excel 2023
22,COM,1,22,planilla excel 2023
23,COM,1,23,planilla excel 2023
24,COM,4,24,planilla excel 2023
25,COM,1,25,planilla excel 2023
26,COM,6,26,planilla excel 2023
27,COM,12,27,planilla excel 2023
28,COM,3,28,planilla excel 2023
29,COM,3,29,planilla excel 2023
30,COM,9,30,planilla excel 2023
31,COM,2,31,planilla excel 2023
32,COM,2,32,planilla excel 2023
33,COM,2,33,planilla excel 2023
34,COM,1,34,planilla excel 2023
35,COM,1,35,planilla excel 2023
36,COM,1,36,planilla excel 2023
37,COM,2,37,planilla excel 2023
38,COM,10,38,planilla excel 2023
39,COM,14,39,planilla excel 2023
40,COM,8,40,planilla excel 2023
41,COM,1,41,planilla excel 2023
42,COM,1,42,planilla excel 2023
43,COM,1,43,planilla excel 2023
44,COM,1,44,planilla excel 2023
45,COM,2,45,planilla excel 2023
46,COM,2,46,planilla excel 2023
47,COM,1,47,planilla excel 2023
48,COM,2,48,planilla excel 2023
49,COM,7,49,planilla excel 2023
50,COM,1,50,planilla excel 2023
51,COM,1,51,planilla excel 2023
52,COM,1,52,planilla excel 2023
53,COM,0,53,planilla excel 2023
54,COM,1,54,planilla excel 2023
55,COM,1,55,planilla excel 2023
56,COM,1,56,planilla excel 2023
57,COM,1,57,planilla excel 2023
58,COM,1,58,planilla excel 2023
59,COM,1,59,planilla excel 2023
60,COM,1,60,planilla excel 2023
61,COM,1,61,planilla excel 2023
62,COM,1,62,planilla excel 2023
63,COM,3,63,planilla excel 2023
64,COM,1,64,planilla excel 2023
65,COM,1,65,planilla excel 2023
66,COM,2,66,planilla excel 2023
67,COM,2,67,planilla excel 2023
68,COM,6,68,planilla excel 2023
69,COM,6,69,planilla excel 2023
70,COM,6,70,planilla excel 2023
71,COM,6,71,planilla excel 2023
72,COM,7,72,planilla excel 2023
73,COM,1,73,planilla excel 2023
74,COM,1,74,planilla excel 2023
75,COM,1,75,planilla excel 2023
76,COM,1,76,planilla excel 2023
77,COM,16,77,planilla excel 2023
78,COM,5,78,planilla excel 2023
79,COM,12,79,planilla excel 2023
80,COM,50,80,planilla excel 2023
81,COM,50,81,planilla excel 2023
82,COM,1,82,planilla excel 2023
83,COM,1,83,planilla excel 2023
84,COM,1,84,planilla excel 2023
85,COM,1,85,planilla excel 2023
86,COM,2,86,planilla excel 2023
87,COM,1,87,planilla excel 2023
88,COM,19,88,planilla excel 2023
89,COM,7,89,planilla excel 2023
90,COM,2,90,planilla excel 2023
91,COM,18,91,planilla excel 2023
92,COM,8,92,planilla excel 2023
93,COM,2,93,planilla excel 2023
94,COM,4,94,planilla excel 2023
95,COM,1,95,planilla excel 2023
96,COM,1,96,planilla excel 2023
97,COM,1,97,planilla excel 2023
98,COM,2,98,planilla excel 2023
99,COM,0,99,planilla excel 2023
100,COM,4,100,planilla excel 2023
101,COM,2,101,planilla excel 2023
102,COM,1,102,planilla excel 2023
103,COM,1,103,planilla excel 2023
104,COM,1,104,planilla excel 2023
